,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
1821,218,630,104.4433560090703,106.11519274376417,38,15,418,2,412
1822,218,656,104.4433560090703,107.27619047619048,38,12,455,3,438
1823,218,23,104.51301587301587,106.02231292517007,36,45,206,2,195
1824,218,31,104.51301587301587,106.62603174603174,36,45,208,2,187
1825,218,219,104.51301587301587,107.299410430839,36,37,120,3,1
1826,218,489,104.51301587301587,106.11519274376417,36,24,280,2,271
1827,218,439,104.51301587301587,107.18331065759638,36,23,249,3,221
1828,218,630,104.51301587301587,106.11519274376417,36,15,418,2,412
1829,218,656,104.51301587301587,107.27619047619048,36,12,454,3,438
1830,219,31,105.48825396825397,106.62603174603174,19,45,194,1,188
1831,219,83,105.48825396825397,107.67092970521543,19,46,165,2,136
1832,219,229,105.48825396825397,108.32108843537415,19,31,122,3,10
1833,219,439,105.48825396825397,107.18331065759638,19,23,232,2,220
1834,219,427,105.48825396825397,107.85668934240363,19,21,232,2,208
1835,219,656,105.48825396825397,107.27619047619048,19,12,444,2,437
1836,219,668,105.48825396825397,108.39074829931972,19,12,466,3,449
1837,219,20,107.299410430839,108.92480725623582,37,45,211,2,199
1838,219,18,107.299410430839,110.24834467120182,37,42,238,3,201
1839,219,229,107.299410430839,108.32108843537415,37,31,45,1,10
1840,219,206,107.299410430839,109.48208616780046,37,23,95,2,13
1841,219,445,107.299410430839,109.20344671201815,37,21,240,2,226
1842,219,425,107.299410430839,109.90004535147392,37,18,234,3,206
1843,219,668,107.299410430839,108.39074829931972,37,12,451,1,449
1844,229,18,108.32108843537415,110.24834467120182,31,42,227,2,211
1845,229,18,108.32108843537415,110.5966439909297,31,46,233,2,211
1846,229,206,108.32108843537415,109.48208616780046,31,23,55,1,23
1847,229,267,108.32108843537415,110.50376417233561,31,17,101,2,38
1848,229,260,108.32108843537415,111.08426303854876,31,29,123,3,31
1849,229,425,108.32108843537415,109.90004535147392,31,18,207,2,196
1850,229,427,108.32108843537415,110.55020408163266,31,20,220,2,198
1851,229,617,108.32108843537415,110.66630385487528,31,12,401,2,388
1852,206,18,109.48208616780046,110.5966439909297,23,46,194,1,188
1853,206,60,109.48208616780046,111.54866213151928,23,45,171,2,146
1854,206,267,109.48208616780046,110.50376417233561,23,17,75,1,61
1855,206,260,109.48208616780046,111.08426303854876,23,29,88,2,54
1856,206,427,109.48208616780046,110.55020408163266,23,20,226,1,221
1857,206,427,109.48208616780046,111.89696145124717,23,21,244,2,221
1858,206,617,109.48208616780046,110.66630385487528,23,12,414,1,411
1859,267,60,110.50376417233561,111.54866213151928,17,45,212,1,207
1860,267,61,110.50376417233561,112.82575963718821,17,46,229,2,206
1861,267,231,110.50376417233561,112.47746031746031,17,35,92,2,36
1862,267,261,110.50376417233561,112.52390022675738,17,33,87,2,6
1863,267,427,110.50376417233561,111.89696145124717,17,21,171,1,160
1864,267,445,110.50376417233561,113.24371882086169,17,22,214,3,178
1865,267,755,110.50376417233561,112.50068027210885,17,16,496,2,488
1866,267,644,110.50376417233561,112.7328798185941,17,15,389,2,377
1867,260,61,111.08426303854876,112.82575963718821,29,46,213,2,199
1868,260,231,111.08426303854876,112.47746031746031,29,35,67,1,29
1869,260,261,111.08426303854876,112.52390022675738,29,33,62,1,1
1870,260,445,111.08426303854876,113.24371882086169,29,22,207,2,185
1871,260,414,111.08426303854876,113.94031746031746,29,16,197,3,154
1872,260,755,111.08426303854876,112.50068027210885,29,16,499,1,495
1873,260,644,111.08426303854876,112.7328798185941,29,15,391,2,384
1874,231,93,112.47746031746031,114.42793650793651,35,45,162,2,138
1875,231,109,112.47746031746031,115.26385487528344,35,45,171,3,122
1876,231,245,112.47746031746031,114.49759637188208,35,22,88,2,14
1877,231,214,112.47746031746031,114.91555555555556,35,31,106,2,17
1878,231,414,112.47746031746031,113.94031746031746,35,16,194,1,183
1879,231,428,112.47746031746031,114.5904761904762,35,20,217,2,197
1880,261,93,112.52390022675738,114.42793650793651,33,45,187,2,168
1881,261,109,112.52390022675738,115.26385487528344,33,45,192,3,152
1882,261,245,112.52390022675738,114.49759637188208,33,22,86,2,16
1883,261,214,112.52390022675738,114.91555555555556,33,31,113,2,47
1884,261,414,112.52390022675738,113.94031746031746,33,16,165,1,153
1885,261,428,112.52390022675738,114.5904761904762,33,20,189,2,167
1886,261,744,112.52390022675738,115.14775510204082,33,15,496,3,483
1887,245,18,114.49759637188208,115.98367346938775,22,44,236,1,227
1888,245,18,114.49759637188208,116.65705215419501,22,44,245,2,227
1889,245,264,114.49759637188208,115.9372335600907,22,28,65,1,19
1890,245,213,114.49759637188208,117.28399092970521,22,37,124,3,32
1891,245,436,114.49759637188208,115.9372335600907,22,21,201,1,191
1892,245,428,114.49759637188208,117.28399092970521,22,21,219,3,183
1893,245,617,114.49759637188208,117.37687074829932,22,17,392,3,372
1894,214,18,114.91555555555556,115.98367346938775,31,44,201,1,196
1895,214,18,114.91555555555556,116.65705215419501,31,44,210,2,196
1896,214,264,114.91555555555556,115.9372335600907,31,28,67,1,50
1897,214,213,114.91555555555556,117.28399092970521,31,37,102,2,1
1898,214,255,114.91555555555556,117.8877097505669,31,29,134,3,41
1899,214,436,114.91555555555556,115.9372335600907,31,21,226,1,222
1900,214,428,114.91555555555556,117.28399092970521,31,21,237,2,214
1901,214,486,114.91555555555556,117.60907029478459,31,23,296,3,272
1902,214,617,114.91555555555556,117.37687074829932,31,17,417,2,403
1903,214,684,114.91555555555556,117.58585034013606,31,19,484,3,470
1904,264,42,115.9372335600907,118.44498866213152,28,46,247,3,222
1905,264,23,115.9372335600907,118.81650793650793,28,47,271,3,241
